place,player,speed_run_time,console,date_achieved
1,jn32931x,5728,w89rwelk,2024-11-04T05:39:48Z
2,zxzk1q9x,5730,w89rwelk,2025-03-18T23:22:54Z
3,j2ylqn68,5752,w89rwelk,2025-06-14T16:07:07Z
4,kjprmwk8,5762,w89rwelk,2024-07-07T17:33:13Z
5,1xyd46wx,5793,w89rwelk,2025-05-01T21:52:00Z
6,8wkzer38,5804,w89rwelk,2024-05-16T04:38:07Z
6,v814mkp8,5804,w89rwelk,2024-06-12T23:32:21Z
8,v81ddq38,5818,w89rwelk,2025-04-30T14:37:36Z
9,jo2mr9n8,5823,w89rwelk,2023-10-22T09:45:36Z
10,zx77v7rx,5826,w89rwelk,2024-09-29T17:44:24Z
11,pj0zz298,5827,w89rwelk,2025-02-26T09:05:45Z
12,kj9yz0wx,5837,w89rwelk,2023-11-23T15:29:50Z
13,48gev4rj,5846,w89rwelk,2024-10-06T18:08:39Z
14,kj9lkowj,5860,w89rwelk,2023-11-13T15:12:15Z
15,dx35192j,5875,w89rwelk,2024-03-21T19:42:58Z
15,8r7m4ldj,5875,w89rwelk,2025-04-23T01:50:46Z
17,jm3lqln8,5901,w89rwelk,2024-07-16T04:54:08Z
18,kj92gmv8,5909,w89rwelk,2024-02-12T11:54:55Z
19,7j40gpw8,5925,w89rwelk,2024-03-20T11:39:31Z
20,jmolpwo8,5933,w89rwelk,2023-11-09T05:36:53Z
20,e8e6edj0,5933,w89rwelk,2024-07-14T06:13:12Z
22,qxk45r6j,5934,w89rwelk,2021-01-30T17:28:58Z
22,zx76v0j7,5934,w89rwelk,2021-06-26T23:42:27Z
24,18q3zwqj,5938,w89rwelk,2024-09-09T20:39:22Z
25,98rp5e6j,5940,w89rwelk,2021-09-24T14:00:24Z
26,j0n10kw8,5941,w89rwelk,2025-04-04T03:01:47Z
27,8v5253yj,5942,w89rwelk,2024-08-06T07:09:33Z
28,zx7gnyx7,5947,w89rwelk,2023-10-19T19:03:35Z
29,qj2w3rpj,5949,w89rwelk,2024-05-21T17:40:43Z
30,j51q9668,5959,nzelreqp,2024-07-14T21:05:50Z
31,jo3v1n0j,5961,w89rwelk,2025-02-03T14:01:35Z
32,8lr0m1v8,5967,w89rwelk,2024-10-26T06:27:34Z
33,1xyl49zj,5968,w89rwelk,2021-03-10T04:46:11Z
34,98rl4w38,5971,w89rwelk,2024-12-18T20:38:38Z
35,qjor2nj6,5984,nzelreqp,2025-02-10T18:59:07Z
36,j5vgqlw8,5986,w89rwelk,2025-05-05T05:17:30Z
37,kjp9p28q,5991,w89rwelk,2022-02-12T10:54:57Z
37,j03z503j,5991,w89rwelk,2023-06-23T01:30:46Z
39,qjn77418,5993,w89rwelk,2024-10-15T02:00:08Z
40,pj0l653j,5994,w89rwelk,2024-03-10T05:37:22Z
41,v815edqj,5997,w89rwelk,2022-10-23T00:57:58Z
42,qxk3o980,6003,w89rwelk,2021-11-14T09:33:35Z
43,jpmk03yj,6010,w89rwelk,2025-05-18T18:40:10Z
44,kjpqy9yx,6012,w89rwelk,2021-05-17T00:31:43Z
45,v8lgdovj,6020,w89rwelk,2024-04-15T23:47:42Z
46,dx31lw78,6021,w89rwelk,2021-04-05T01:30:00Z
47,18q9317j,6025,w89rwelk,2021-11-28T17:32:01Z
48,8e6vr17j,6039,w89rwelk,2024-07-22T18:27:30Z
49,pj0o24rj,6040,nzelreqp,2022-10-30T11:34:48Z
50,zxzpz50j,6043,w89rwelk,2020-11-12T00:58:51Z
51,v816eo5x,6046,nzelreqp,2024-02-03T01:44:05Z
52,xyreddzj,6048,w89rwelk,2025-06-10T04:14:38Z
53,xyrqdwmj,6049,w89rwelk,2023-08-03T18:58:44Z
54,8q316z7j,6056,w89rwelk,2025-03-31T23:42:40Z
55,jpm2m44j,6057,w89rwelk,2025-06-12T09:19:13Z
56,qjonw238,6058,w89rwelk,2024-08-21T14:08:02Z
57,18vkpkyj,6059,w89rwelk,2023-05-23T09:52:28Z
58,xyrdnrnj,6061,w89rwelk,2025-02-22T21:28:39Z
59,8d4ywn58,6062,w89rwelk,2024-02-21T06:04:15Z
60,5j5w6qnj,6075,w89rwelk,2024-09-02T04:57:46Z
61,98r475gj,6076,w89rwelk,2025-02-22T03:05:38Z
62,xzld0398,6084,w89rwelk,2025-04-07T12:28:20Z
63,qj2y1r68,6097,nzelreqp,2024-02-14T19:02:55Z
64,18vk21yj,6101,w89rwelk,2021-10-04T11:55:08Z
65,kjpqrr4x,6103,w89rwelk,2021-03-09T20:10:54Z
66,1xy1oozx,6109,w89rwelk,2024-01-21T19:16:17Z
67,0jmo9zn8,6110,w89rwelk,2024-02-01T09:13:30Z
68,pj0v59xw,6112,w89rwelk,2024-06-10T02:32:23Z
69,x353dr7j,6114,nzelreqp,2023-07-26T23:29:57Z
70,qxkm6mj0,6115,w89rwelk,2023-01-11T18:33:09Z
70,8geyo77j,6115,w89rwelk,2023-12-07T08:31:30Z
72,8g2zm0rj,6117,w89rwelk,2025-05-25T04:03:08Z
73,v8lem77x,6119,w89rwelk,2024-02-09T03:14:09Z
74,kj9egwv8,6122,w89rwelk,2023-02-21T03:49:51Z
75,jp4q645j,6127,w89rwelk,2025-04-08T02:31:51Z
76,pj02nmw8,6129,w89rwelk,
77,qjop4q3x,6130,w89rwelk,2018-08-11T15:02:19Z
78,5j52e9qj,6133,w89rwelk,2017-05-04T02:36:10Z
79,v8lq4k7x,6134,w89rwelk,2022-04-27T03:54:06Z
79,x7mo69vx,6134,w89rwelk,2025-05-09T00:56:14Z
81,5j5v2nz8,6143,w89rwelk,2020-02-12T11:57:28Z
82,0jm7n3nj,6144,w89rwelk,2018-11-03T07:58:08Z
82,y8d2v2mj,6144,w89rwelk,2022-04-22T21:39:52Z
84,0jml0zy8,6146,w89rwelk,2020-10-22T14:39:22Z
85,zxzvprjq,6148,w89rwelk,2015-12-07T00:13:54Z
86,qxk4wo6j,6153,w89rwelk,2023-06-14T22:08:08Z
86,86nrm5qx,6153,w89rwelk,2024-07-03T23:25:31Z
88,kj9ylvx4,6162,w89rwelk,2019-05-12T05:10:26Z
89,98r70w3j,6166,w89rwelk,2021-11-23T03:03:25Z
90,8rpp0egj,6172,w89rwelk,2022-07-09T22:42:31Z
91,dx3q74qj,6173,w89rwelk,2021-08-18T20:40:07Z
92,xk4zke6j,6174,w89rwelk,2024-03-07T00:38:17Z
93,x359w0kj,6175,w89rwelk,2023-04-29T11:09:15Z
94,1xyw6wn8,6181,w89rwelk,2023-05-14T06:10:19Z
95,1xy05zjr,6194,w89rwelk,2021-12-08T14:23:06Z
96,zxz97kn8,6196,w89rwelk,2021-01-13T23:44:27Z
97,dx351yqj,6202,nzelreqp,
98,[jp]アキラ (Akira),6203,w89rwelk,2017-02-22T13:48:28Z
99,qjnz771j,6205,w89rwelk,2020-12-18T08:13:58Z
100,[jp]Melty,6206,w89rwelk,2024-08-07T11:48:28Z
100,8enge328,6206,w89rwelk,2025-06-05T13:42:00Z
102,dx35yzej,6207,w89rwelk,2024-09-05T06:35:04Z
102,pj0vn53x,6207,w89rwelk,2025-05-03T09:26:13Z
104,8gr94w1x,6208,w89rwelk,2022-02-23T23:42:12Z
105,8r7412qj,6209,w89rwelk,2025-04-06T16:43:41Z
106,[jp]でさんと (Descente),6210,w89rwelk,2019-03-17T03:04:04Z
106,48gqo07j,6210,w89rwelk,2021-08-08T21:22:55Z
106,qjo3kk7j,6210,w89rwelk,2023-11-04T18:47:04Z
109,o86nzl0x,6212,w89rwelk,2020-08-31T22:05:01Z
109,kjpoery8,6212,w89rwelk,2022-06-17T08:25:19Z
109,jo30mmnj,6212,w89rwelk,2025-05-16T00:22:12Z
