player,level,speed_run_time_for_level,place,date_achieved,console
jn32931x,5d7776qd,354.83,3,2024-10-26,w89rwelk
jn32931x,5wk22gvw,285.84,2,2024-06-24,w89rwelk
jn32931x,rw6vvkp9,315.82,1,2024-06-22,w89rwelk
jn32931x,xd100vz9,310.07,1,2024-06-22,w89rwelk
jn32931x,xd466vq9,282.47,6,2024-06-13,w89rwelk
jn32931x,29vyy1q9,204.55,4,2024-05-30,w89rwelk
jn32931x,y9meekzd,233.9,5,2024-04-06,w89rwelk
jn32931x,592jjv7w,260.67,1,2024-04-03,w89rwelk
jn32931x,r9gzzkjd,375.85,26,2023-12-26,w89rwelk
jn32931x,495jjvmw,344.83,35,2023-12-23,w89rwelk
jn32931x,owokkgjd,230.63,1,2023-12-09,w89rwelk
zxzk1q9x,5wk22gvw,285.96,3,2025-01-08,w89rwelk
zxzk1q9x,29vyy1q9,207.66,10,2023-12-08,w89rwelk
zxzk1q9x,495jjvmw,341.26,28,2023-05-05,w89rwelk
zxzk1q9x,r9gzzkjd,374.9,21,2023-05-05,w89rwelk
zxzk1q9x,y9meekzd,234.26,7,2023-04-25,w89rwelk
zxzk1q9x,rw6vvkp9,318.8,4,2023-04-15,w89rwelk
zxzk1q9x,xd466vq9,338.86,52,2023-03-25,w89rwelk
zxzk1q9x,kwjyyo0w,294.9,4,2023-03-01,w89rwelk
zxzk1q9x,xd100vz9,312.16,3,2023-03-01,w89rwelk
zxzk1q9x,owokkgjd,234.66,12,2019-01-17,w89rwelk
zxzk1q9x,ewpppkyw,368.2,12,2018-12-29,w89rwelk
j2ylqn68,y9meekzd,234.16,6,2024-07-30,w89rwelk
j2ylqn68,495jjvmw,340.6,22,2024-06-30,w89rwelk
j2ylqn68,rw6vvkp9,319.26,7,2024-06-29,w89rwelk
j2ylqn68,xd466vq9,290.3,15,2024-06-24,w89rwelk
j2ylqn68,5wk22gvw,290.66,11,2024-05-22,w89rwelk
j2ylqn68,29vyy1q9,213.66,23,2024-05-17,w89rwelk
j2ylqn68,5d7776qd,356.6,7,2024-04-15,w89rwelk
j2ylqn68,owokkgjd,235.96,21,2024-03-20,w89rwelk
j2ylqn68,xd100vz9,311.77,2,2023-12-28,w89rwelk
j2ylqn68,592jjv7w,265.6,12,2023-10-15,w89rwelk
j2ylqn68,o9x22m3w,214.93,53,2023-07-31,w89rwelk
j2ylqn68,rdq006ow,287.23,44,2023-06-26,w89rwelk
j2ylqn68,r9gzzkjd,373.97,18,2019-05-11,w89rwelk
kjprmwk8,owokkgjd,232.16,4,2024-07-12,w89rwelk
kjprmwk8,5d7776qd,355.45,4,2024-07-10,w89rwelk
kjprmwk8,5wk22gvw,291.99,15,2024-01-12,w89rwelk
kjprmwk8,r9gzzkjd,371.37,7,2024-01-11,w89rwelk
kjprmwk8,xd100vz9,313.61,5,2024-01-08,w89rwelk
kjprmwk8,592jjv7w,266.86,19,2024-01-06,w89rwelk
kjprmwk8,xd466vq9,298.03,25,2024-01-06,w89rwelk
kjprmwk8,rdq006ow,282.31,10,2024-01-05,w89rwelk
kjprmwk8,o9x22m3w,208.9,7,2023-08-12,w89rwelk
kjprmwk8,495jjvmw,335.36,4,2023-03-23,w89rwelk
kjprmwk8,y9meekzd,234.91,9,2022-11-18,w89rwelk
1xyd46wx,rw6vvkp9,316.36,2,2025-03-27,w89rwelk
1xyd46wx,owokkgjd,231.26,2,2024-12-27,w89rwelk
1xyd46wx,kwjyyo0w,291.32,2,2024-11-19,w89rwelk
1xyd46wx,xd100vz9,315.91,8,2024-09-03,w89rwelk
1xyd46wx,5d7776qd,354.05,2,2024-08-02,w89rwelk
1xyd46wx,5wk22gvw,286.95,4,2024-06-18,w89rwelk
1xyd46wx,y9meekzd,234.8,8,2023-12-29,w89rwelk
1xyd46wx,xd466vq9,280.78,4,2023-12-27,w89rwelk
1xyd46wx,rdq006ow,281.31,7,2023-12-26,w89rwelk
1xyd46wx,495jjvmw,336.63,10,2023-12-24,w89rwelk
1xyd46wx,592jjv7w,263.02,6,2023-12-24,w89rwelk
1xyd46wx,r9gzzkjd,369.7,5,2023-12-24,w89rwelk
1xyd46wx,o9x22m3w,209.14,9,2023-12-24,w89rwelk
1xyd46wx,ewpppkyw,359.12,5,2023-12-23,w89rwelk
1xyd46wx,29vyy1q9,208.1,11,2023-12-19,w89rwelk
1xyd46wx,xd100vz9,348.81,4,2023-10-20,nzelreqp
1xyd46wx,y9meekzd,240.17,2,2023-10-20,nzelreqp
1xyd46wx,xd466vq9,350.88,4,2023-10-20,nzelreqp
1xyd46wx,kwjyyo0w,302.8,1,2023-10-20,nzelreqp
1xyd46wx,5d7776qd,362.52,2,2023-10-20,nzelreqp
1xyd46wx,r9gzzkjd,380.14,2,2023-10-20,nzelreqp
1xyd46wx,rdq006ow,279.94,1,2023-10-20,nzelreqp
1xyd46wx,ewpppkyw,367.46,2,2023-10-20,nzelreqp
1xyd46wx,o9x22m3w,209.9,1,2023-01-31,nzelreqp
1xyd46wx,495jjvmw,340.47,1,2023-01-31,nzelreqp
1xyd46wx,owokkgjd,234.4,2,2023-01-31,nzelreqp
1xyd46wx,592jjv7w,271.37,1,2023-01-31,nzelreqp
1xyd46wx,29vyy1q9,216.51,1,2023-01-31,nzelreqp
1xyd46wx,5wk22gvw,301.6,1,2022-04-19,nzelreqp
1xyd46wx,rw6vvkp9,322.02,1,2022-04-19,nzelreqp
8wkzer38,5wk22gvw,279.17,1,2025-01-29,w89rwelk
8wkzer38,y9meekzd,214.64,1,2024-05-31,w89rwelk
8wkzer38,5d7776qd,353.82,1,2024-05-25,w89rwelk
8wkzer38,r9gzzkjd,365.23,2,2024-05-24,w89rwelk
8wkzer38,495jjvmw,333.16,2,2024-05-12,w89rwelk
8wkzer38,xd466vq9,264.23,1,2024-03-10,w89rwelk
8wkzer38,rdq006ow,278.51,2,2023-11-03,w89rwelk
8wkzer38,592jjv7w,262.09,3,2023-07-08,w89rwelk
8wkzer38,kwjyyo0w,282.74,1,2023-03-27,w89rwelk
8wkzer38,owokkgjd,235.76,20,2023-03-17,w89rwelk
8wkzer38,o9x22m3w,214.28,48,2023-03-17,w89rwelk
8wkzer38,xd100vz9,318.71,15,2023-03-12,w89rwelk
8wkzer38,rw6vvkp9,325.12,25,2022-12-27,w89rwelk
8wkzer38,29vyy1q9,208.54,12,2022-10-11,w89rwelk
v814mkp8,xd100vz9,317.56,13,2024-05-21,w89rwelk
v814mkp8,rw6vvkp9,322.85,15,2024-04-16,w89rwelk
v814mkp8,xd466vq9,297.33,22,2024-02-02,w89rwelk
v814mkp8,5wk22gvw,293.21,18,2024-02-01,w89rwelk
v814mkp8,owokkgjd,234.21,8,2024-02-01,w89rwelk
v814mkp8,495jjvmw,336.2,7,2024-01-10,w89rwelk
v814mkp8,rdq006ow,283.81,17,2023-09-26,w89rwelk
v814mkp8,r9gzzkjd,374.05,19,2023-08-31,w89rwelk
v814mkp8,592jjv7w,265.36,11,2023-08-31,w89rwelk
v814mkp8,o9x22m3w,211.73,25,2023-08-07,w89rwelk
v814mkp8,29vyy1q9,214.75,33,2022-11-25,w89rwelk
v814mkp8,y9meekzd,236.16,11,2022-11-13,w89rwelk
v814mkp8,5d7776qd,358.76,11,2022-09-06,w89rwelk
v81ddq38,495jjvmw,332.19,1,2025-06-05,w89rwelk
v81ddq38,r9gzzkjd,368.23,3,2025-06-01,w89rwelk
v81ddq38,y9meekzd,235.03,10,2025-03-15,w89rwelk
v81ddq38,xd466vq9,277.06,2,2025-02-24,w89rwelk
v81ddq38,owokkgjd,234.82,16,2025-01-30,w89rwelk
v81ddq38,rw6vvkp9,321.32,11,2024-04-11,w89rwelk
v81ddq38,592jjv7w,265.66,13,2023-11-04,w89rwelk
v81ddq38,o9x22m3w,216.68,62,2023-05-24,w89rwelk
v81ddq38,5wk22gvw,292.89,17,2023-05-07,w89rwelk
jo2mr9n8,xd466vq9,332.7,49,2023-09-29,w89rwelk
jo2mr9n8,495jjvmw,339.2,20,2023-09-13,w89rwelk
jo2mr9n8,rdq006ow,284.1,19,2023-09-12,w89rwelk
jo2mr9n8,29vyy1q9,217.63,45,2022-05-21,w89rwelk
jo2mr9n8,592jjv7w,269.3,28,2022-05-21,w89rwelk
jo2mr9n8,y9meekzd,242.1,31,2022-05-21,w89rwelk
jo2mr9n8,o9x22m3w,215.23,54,2022-05-12,w89rwelk
zx77v7rx,5wk22gvw,288.63,7,2024-05-30,w89rwelk
zx77v7rx,rw6vvkp9,321.0,10,2024-05-27,w89rwelk
zx77v7rx,o9x22m3w,212.33,33,2024-05-26,w89rwelk
zx77v7rx,29vyy1q9,211.96,19,2024-05-04,w89rwelk
zx77v7rx,xd100vz9,317.2,12,2024-04-27,w89rwelk
zx77v7rx,y9meekzd,238.71,19,2024-04-25,w89rwelk
zx77v7rx,495jjvmw,338.3,18,2024-04-10,w89rwelk
zx77v7rx,xd466vq9,298.65,26,2024-03-27,w89rwelk
zx77v7rx,ewpppkyw,355.21,4,2024-03-16,w89rwelk
zx77v7rx,592jjv7w,261.73,2,2024-02-06,w89rwelk
zx77v7rx,r9gzzkjd,372.4,11,2023-02-09,w89rwelk
zx77v7rx,owokkgjd,234.7,14,2022-09-06,w89rwelk
zx77v7rx,rdq006ow,284.45,22,2022-03-19,w89rwelk
zx77v7rx,5d7776qd,357.73,10,2022-02-05,w89rwelk
pj0zz298,495jjvmw,338.5,19,2024-06-16,w89rwelk
pj0zz298,owokkgjd,238.23,35,2024-02-24,w89rwelk
pj0zz298,29vyy1q9,216.2,39,2024-02-24,w89rwelk
pj0zz298,o9x22m3w,216.9,64,2024-02-04,w89rwelk
pj0zz298,5d7776qd,360.56,22,2023-12-30,w89rwelk
pj0zz298,xd466vq9,289.17,13,2023-12-30,w89rwelk
pj0zz298,592jjv7w,269.1,25,2023-10-16,w89rwelk
pj0zz298,rdq006ow,285.51,32,2023-10-07,w89rwelk
pj0zz298,r9gzzkjd,377.75,31,2023-08-14,w89rwelk
pj0zz298,xd100vz9,319.3,17,2023-03-16,w89rwelk
pj0zz298,5wk22gvw,291.42,13,2022-11-17,w89rwelk
pj0zz298,y9meekzd,240.7,26,2022-11-14,w89rwelk
pj0zz298,rw6vvkp9,323.45,18,2022-11-14,w89rwelk
kj9yz0wx,xd466vq9,302.56,29,2023-11-09,w89rwelk
kj9yz0wx,r9gzzkjd,371.5,8,2023-09-07,w89rwelk
kj9yz0wx,495jjvmw,336.23,8,2023-07-14,w89rwelk
kj9yz0wx,o9x22m3w,213.66,45,2023-05-24,w89rwelk
kj9yz0wx,5wk22gvw,288.23,6,2023-05-01,w89rwelk
kj9yz0wx,5d7776qd,356.13,5,2023-03-20,w89rwelk
kj9yz0wx,xd100vz9,318.33,14,2022-07-10,w89rwelk
kj9yz0wx,owokkgjd,234.06,6,2022-02-27,w89rwelk
kj9yz0wx,y9meekzd,238.23,17,2022-02-10,w89rwelk
kj9yz0wx,rdq006ow,283.4,13,2021-11-28,w89rwelk
kj9yz0wx,592jjv7w,262.83,5,2021-10-31,w89rwelk
kj9yz0wx,rw6vvkp9,318.68,3,2021-08-27,w89rwelk
48gev4rj,r9gzzkjd,373.96,17,2023-11-10,w89rwelk
48gev4rj,xd466vq9,311.01,37,2023-10-18,w89rwelk
48gev4rj,29vyy1q9,214.28,28,2023-08-08,w89rwelk
48gev4rj,495jjvmw,341.1,27,2023-06-17,w89rwelk
48gev4rj,o9x22m3w,215.55,59,2023-06-05,w89rwelk
48gev4rj,5wk22gvw,292.26,16,2022-11-25,w89rwelk
48gev4rj,592jjv7w,266.2,17,2022-09-04,w89rwelk
48gev4rj,owokkgjd,237.76,32,2022-08-06,w89rwelk
48gev4rj,rw6vvkp9,321.95,12,2022-06-04,w89rwelk
48gev4rj,rdq006ow,285.71,34,2022-05-29,w89rwelk
48gev4rj,y9meekzd,240.53,25,2021-02-19,w89rwelk
48gev4rj,5d7776qd,359.28,15,2021-02-19,w89rwelk
48gev4rj,xd100vz9,316.98,10,2020-04-09,w89rwelk
kj9lkowj,y9meekzd,237.91,15,2024-02-09,w89rwelk
kj9lkowj,xd466vq9,302.76,30,2023-11-10,w89rwelk
kj9lkowj,5d7776qd,357.51,9,2023-11-04,w89rwelk
kj9lkowj,rw6vvkp9,324.7,23,2021-02-25,w89rwelk
kj9lkowj,5wk22gvw,294.42,21,2021-02-24,w89rwelk
kj9lkowj,rdq006ow,284.8,26,2021-02-24,w89rwelk
kj9lkowj,owokkgjd,235.74,19,2021-02-24,w89rwelk
kj9lkowj,r9gzzkjd,376.7,30,2016-11-21,w89rwelk
kj9lkowj,ewpppkyw,373.6,24,2016-11-20,w89rwelk
dx35192j,o9x22m3w,209.0,8,2022-12-28,w89rwelk
dx35192j,592jjv7w,270.26,31,2022-06-05,w89rwelk
dx35192j,5wk22gvw,297.2,29,2022-06-05,w89rwelk
8r7m4ldj,xd100vz9,318.95,16,2025-02-08,w89rwelk
8r7m4ldj,29vyy1q9,212.11,20,2025-02-08,w89rwelk
8r7m4ldj,kwjyyo0w,296.11,5,2025-02-08,w89rwelk
8r7m4ldj,xd466vq9,284.68,9,2025-02-08,w89rwelk
8r7m4ldj,5d7776qd,360.31,21,2025-02-08,w89rwelk
8r7m4ldj,5wk22gvw,298.66,36,2024-01-24,w89rwelk
8r7m4ldj,495jjvmw,343.38,32,2024-01-20,w89rwelk
8r7m4ldj,592jjv7w,272.15,35,2023-12-22,w89rwelk
8r7m4ldj,ewpppkyw,371.88,19,2023-12-22,w89rwelk
8r7m4ldj,owokkgjd,237.58,31,2023-12-22,w89rwelk
8r7m4ldj,rdq006ow,287.45,45,2023-12-21,w89rwelk
8r7m4ldj,y9meekzd,243.91,39,2023-12-21,w89rwelk
8r7m4ldj,o9x22m3w,211.46,23,2023-12-19,w89rwelk
8r7m4ldj,r9gzzkjd,379.05,36,2023-12-19,w89rwelk
8r7m4ldj,rw6vvkp9,326.33,27,2023-12-19,w89rwelk
jm3lqln8,29vyy1q9,205.9,1,2024-04-12,w89rwelk
jm3lqln8,ewpppkyw,364.26,5,2024-01-11,w89rwelk
jm3lqln8,rw6vvkp9,323.86,2,2024-01-11,w89rwelk
jm3lqln8,r9gzzkjd,379.43,5,2023-12-30,w89rwelk
jm3lqln8,rdq006ow,282.96,3,2023-12-26,w89rwelk
jm3lqln8,495jjvmw,337.36,4,2023-12-22,w89rwelk
kj92gmv8,rw6vvkp9,327.31,33,2024-03-05,w89rwelk
kj92gmv8,592jjv7w,270.48,32,2024-03-01,w89rwelk
kj92gmv8,xd100vz9,322.3,23,2024-02-13,w89rwelk
kj92gmv8,y9meekzd,242.4,33,2024-02-10,w89rwelk
kj92gmv8,xd466vq9,308.13,34,2024-02-07,w89rwelk
kj92gmv8,5d7776qd,364.26,30,2024-02-07,w89rwelk
kj92gmv8,owokkgjd,237.35,30,2024-01-22,w89rwelk
kj92gmv8,o9x22m3w,213.25,44,2023-08-29,w89rwelk
kj92gmv8,r9gzzkjd,376.23,28,2023-08-23,w89rwelk
kj92gmv8,rdq006ow,286.83,42,2023-08-14,w89rwelk
kj92gmv8,495jjvmw,339.71,21,2023-04-18,w89rwelk
kj92gmv8,5wk22gvw,296.09,25,2022-08-25,w89rwelk
kj92gmv8,29vyy1q9,215.26,35,2022-02-10,w89rwelk
7j40gpw8,29vyy1q9,206.33,6,2024-07-09,w89rwelk
7j40gpw8,495jjvmw,341.9,29,2023-08-08,w89rwelk
7j40gpw8,xd100vz9,315.31,7,2023-07-31,w89rwelk
7j40gpw8,kwjyyo0w,301.04,10,2023-07-31,w89rwelk
7j40gpw8,5d7776qd,362.95,26,2023-07-28,w89rwelk
7j40gpw8,owokkgjd,234.63,11,2023-07-27,w89rwelk
7j40gpw8,rw6vvkp9,324.03,21,2023-07-27,w89rwelk
7j40gpw8,rdq006ow,285.48,30,2023-07-27,w89rwelk
7j40gpw8,y9meekzd,238.33,18,2023-07-27,w89rwelk
7j40gpw8,r9gzzkjd,371.8,9,2023-07-27,w89rwelk
7j40gpw8,xd466vq9,337.33,51,2023-07-21,w89rwelk
7j40gpw8,o9x22m3w,208.36,6,2023-07-18,w89rwelk
7j40gpw8,5wk22gvw,293.43,19,2023-01-31,w89rwelk
7j40gpw8,592jjv7w,269.24,27,2022-06-11,w89rwelk
jmolpwo8,29vyy1q9,209.2,13,2025-04-30,w89rwelk
jmolpwo8,xd466vq9,280.53,3,2024-08-21,w89rwelk
jmolpwo8,5d7776qd,361.11,23,2024-08-21,w89rwelk
jmolpwo8,5wk22gvw,294.22,20,2024-08-20,w89rwelk
jmolpwo8,ewpppkyw,359.7,6,2024-08-18,w89rwelk
jmolpwo8,y9meekzd,241.78,30,2024-08-18,w89rwelk
jmolpwo8,495jjvmw,335.43,5,2024-08-17,w89rwelk
jmolpwo8,r9gzzkjd,372.78,12,2024-08-13,w89rwelk
jmolpwo8,592jjv7w,265.33,10,2024-08-02,w89rwelk
jmolpwo8,rdq006ow,280.41,5,2024-07-25,w89rwelk
jmolpwo8,kwjyyo0w,307.2,22,2024-02-01,w89rwelk
jmolpwo8,xd100vz9,325.83,30,2024-01-31,w89rwelk
jmolpwo8,rw6vvkp9,326.96,30,2024-01-31,w89rwelk
jmolpwo8,owokkgjd,234.8,15,2024-01-21,w89rwelk
jmolpwo8,o9x22m3w,207.36,4,2023-12-17,w89rwelk
