player,level,speed_run_time_for_level,place,date_achieved,console
863lklw8,rw6vvkp9,416.41,102,2024-01-31,w89rwelk
863lklw8,xd100vz9,645.9,108,2024-01-30,w89rwelk
863lklw8,kwjyyo0w,467.5,89,2024-01-29,w89rwelk
863lklw8,495jjvmw,543.9,119,2024-01-28,w89rwelk
863lklw8,xd466vq9,414.33,105,2024-01-27,w89rwelk
863lklw8,592jjv7w,340.66,108,2024-01-14,w89rwelk
863lklw8,5d7776qd,639.31,105,2024-01-13,w89rwelk
863lklw8,rdq006ow,313.45,120,2024-01-06,w89rwelk
863lklw8,ewpppkyw,877.26,71,2024-01-03,w89rwelk
863lklw8,5wk22gvw,602.68,119,2024-01-02,w89rwelk
863lklw8,owokkgjd,273.31,121,2023-12-30,w89rwelk
863lklw8,r9gzzkjd,677.9,121,2023-12-29,w89rwelk
863lklw8,y9meekzd,420.71,112,2023-12-29,w89rwelk
863lklw8,29vyy1q9,341.88,130,2023-12-19,w89rwelk
863lklw8,o9x22m3w,251.86,153,2023-12-19,w89rwelk
qjnlodxm,o9x22m3w,287.2,69,2024-02-01,w89rwelk
BenYork36,rdq006ow,310.59,118,2024-02-03,w89rwelk
BenYork36,owokkgjd,275.85,122,2024-02-03,w89rwelk
BenYork36,o9x22m3w,222.9,99,2024-02-01,w89rwelk
BenYork36,rw6vvkp9,747.68,105,2024-01-31,w89rwelk
BenYork36,5wk22gvw,453.2,118,2024-01-31,w89rwelk
BenYork36,ewpppkyw,914.39,72,2024-01-31,w89rwelk
BenYork36,5d7776qd,636.25,104,2024-01-31,w89rwelk
BenYork36,xd100vz9,587.1,107,2024-01-31,w89rwelk
BenYork36,495jjvmw,493.47,118,2024-01-31,w89rwelk
BenYork36,r9gzzkjd,659.55,120,2024-01-31,w89rwelk
BenYork36,kwjyyo0w,728.49,92,2024-01-31,w89rwelk
